Store Type,City,Gender,Age,Age Group,Q1 Expenditure,Q2 Expenditure,Q3 Expenditure,Q4 Expenditure,Discount Used
Merchandise,Hyderabad,Female,64,Senior,10033.86,14159.24,4728.88,10603.03,No
Merchandise,Chennai,Female,60,Senior,5115.31,,5030.41,14972.78,No
Grocery,Pune,Male,62,Senior,1824.17,-23302.94,4019.66,9831.58,No
Grocery,Lucknow,Female,22,Young Adult,6326.99,12935.57,6698.0,4095.33,Yes
Grocery,Bangalore,Female,41,Middle Age,6254.83,11394.83,14356.19,679.35,Yes
Merchandise,Chennai,Male,61,Senior,13836.93,-5885.17,9502.52,4356.03,Yes
Grocery,Pune,Female,25,Young Adult,11772.92,,11189.61,3440.71,Yes
Grocery,Lucknow,Female,57,Senior,11167.33,1570.44,7873.85,3998.36,No
Grocery,Indore,Male,56,Senior,17319.18,17703.64,7009.2,15069.58,Yes
Grocery,Delhi,Male,32,Adult,13132.49,-958.28,1233.22,10742.31,No
Merchandise,Hyderabad,Female,49,Middle Age,4358.26,23379.3,5338.67,8811.55,Yes
Grocery,Hyderabad,Female,41,Middle Age,8745.53,9464.77,7719.04,17573.52,Yes
Grocery,Bangalore,Female,30,Adult,14104.58,22850.15,4020.87,11069.56,No
Merchandise,Delhi,Female,46,Middle Age,9632.4,22801.6,15393.82,5595.74,No
Merchandise,Indore,Female,29,Adult,2527.06,805.51,8298.88,11284.6,Yes
Grocery,Bangalore,Female,20,Young Adult,5587.75,3853.61,15984.22,1018.36,No
Merchandise,Jaipur,Female,24,Young Adult,1912.58,18783.12,7897.19,2741.86,No
Grocery,Delhi,Male,36,Middle Age,11765.35,11503.89,3758.48,11955.19,No
Grocery,Jaipur,Male,15,Teen,8638.99,11678.8,12848.36,1945.11,No
Merchandise,Lucknow,Male,59,Senior,13124.35,12672.64,6657.43,5227.5,Yes
Merchandise,Hyderabad,Male,41,Middle Age,16944.35,13720.41,11457.53,12786.35,No
Grocery,Jaipur,Female,46,Middle Age,10058.1,22012.05,6728.64,,No
Merchandise,Bangalore,Female,36,Middle Age,6591.14,17352.39,1609.12,9849.31,Yes
Merchandise,Pune,Female,52,Senior,12379.22,5844.9,16840.41,17563.79,No
Merchandise,Mumbai,Female,15,Teen,7368.33,2742.33,11068.61,9156.96,No
Grocery,Bangalore,Female,47,Middle Age,10350.71,16082.18,14177.75,11148.25,Yes
Merchandise,Indore,Female,58,Senior,3247.3,9873.14,2533.69,6641.61,No
Grocery,Bangalore,Female,28,Adult,6456.31,4479.67,14860.34,13933.33,Yes
Merchandise,Pune,Male,44,Middle Age,8002.47,14789.96,13954.6,13343.37,No
Merchandise,Delhi,Male,63,Senior,11537.51,3063.8,10330.06,11686.82,Yes
Merchandise,Bangalore,Male,39,Middle Age,,4990.0,11720.32,14355.08,No
,Delhi,Male,57,Senior,16218.64,6138.41,16726.83,7457.58,Yes
Merchandise,Jaipur,Female,25,Young Adult,978.37,16759.23,948.76,7385.95,No
Grocery,Mumbai,Male,38,Middle Age,15529.51,24508.2,19268.08,17085.17,Yes
Grocery,Pune,Female,35,Adult,17951.8,8722.81,9613.07,3058.71,No
Grocery,Indore,Female,46,Middle Age,9088.79,2075.84,18310.51,10269.32,Yes
Merchandise,Jaipur,Female,43,Middle Age,16335.86,1432.89,11236.39,14302.96,Yes
Merchandise,Kolkata,Male,20,Young Adult,1650.04,19346.93,7283.89,11576.18,No
Grocery,Delhi,Male,36,Middle Age,12838.37,16039.5,4359.92,5763.11,Yes
Merchandise,Chennai,Male,37,Middle Age,16298.44,20101.44,6215.04,9907.75,Yes
Merchandise,Lucknow,Male,44,Middle Age,18280.46,628.36,20945.52,11672.54,No
Grocery,Indore,Male,63,Senior,18552.01,10184.89,19061.69,7594.66,No
Grocery,Jaipur,Female,23,Young Adult,7281.22,13564.5,14408.39,-10705.32,No
Grocery,Chennai,Female,25,Young Adult,19298.28,,13909.35,16136.83,No
Merchandise,Pune,Male,50,Middle Age,5343.19,16181.59,14355.41,16209.53,No
Merchandise,Kolkata,Male,64,Senior,9307.07,,9206.84,11292.84,No
Merchandise,Jaipur,Male,41,Middle Age,,8419.71,10696.62,6896.51,No
Grocery,Chennai,Male,54,Senior,16710.09,21832.43,777.82,13662.71,No
Merchandise,Jaipur,Female,63,Senior,15889.34,17334.42,1252.8,7637.8,No
Grocery,Hyderabad,Female,-1,Teen,15260.53,8289.54,16619.4,14965.81,No
Merchandise,Lucknow,Male,28,Adult,1778.42,8833.26,21922.47,11095.6,Yes
Merchandise,Mumbai,Male,18,Young Adult,15469.31,5769.42,,8594.02,Yes
Merchandise,Mumbai,Female,59,Senior,9403.35,17869.1,15344.74,13419.36,No
Merchandise,Jaipur,Female,53,Senior,7095.55,22661.54,20546.84,3406.57,Yes
Merchandise,Mumbai,Male,56,Senior,18378.0,19572.92,9398.03,15316.54,No
Merchandise,Mumbai,Female,64,Senior,15232.56,21473.03,2581.27,8381.41,No
,Chennai,Male,46,Middle Age,6788.29,18437.85,11193.86,7139.16,No
Merchandise,Kolkata,Male,37,Middle Age,7426.01,9357.99,5936.58,11982.32,No
Merchandise,Bangalore,Male,25,Young Adult,8337.74,21329.03,11974.7,11019.48,No
Grocery,Bangalore,Female,45,Middle Age,9872.4,4746.87,20536.52,9493.71,No
Grocery,Chennai,Female,56,Senior,7396.1,13156.32,6623.64,4778.29,No
Merchandise,Delhi,Male,28,Adult,17501.17,14783.7,19423.75,1038.83,No
Grocery,Delhi,Female,18,Young Adult,12352.81,,4394.03,1617.36,Yes
Grocery,Mumbai,,52,Senior,12487.19,6543.21,15678.98,5855.76,No
Grocery,Hyderabad,Male,29,Adult,3958.65,2612.8,18628.6,2689.79,Yes
Merchandise,Indore,Male,58,Senior,6724.53,7927.88,15177.11,940.8,No
Merchandise,Jaipur,Female,59,Senior,6234.11,15778.1,21147.78,12271.05,Yes
Grocery,Hyderabad,Male,21,Young Adult,7728.71,1896.83,16261.21,8788.35,No
Merchandise,Mumbai,Male,26,Adult,5393.28,6045.32,17181.54,14686.27,Yes
Merchandise,Delhi,Male,22,Young Adult,4294.31,14533.52,2207.39,7979.4,No
Grocery,Chennai,Male,37,Middle Age,18509.65,1019.89,-18392.67,15050.86,No
Grocery,Pune,Male,25,Young Adult,15009.2,18753.42,3278.99,7903.33,Yes
Merchandise,Mumbai,Male,24,Young Adult,7750.71,5822.22,17563.7,,Yes
Grocery,Jaipur,Female,15,Teen,12773.14,23703.68,18313.8,1291.94,Yes
Grocery,Indore,Male,19,Young Adult,4332.74,16456.38,4982.61,1716.38,Yes
Merchandise,Hyderabad,Female,53,Senior,5719.4,24262.6,8409.27,12342.46,No
Merchandise,Lucknow,,45,Middle Age,8675.65,6768.27,,1661.36,No
Merchandise,Hyderabad,Female,52,Senior,865.49,23122.99,12155.41,13789.37,No
Grocery,Bangalore,Male,27,Adult,11540.57,5003.87,1926.71,1499.24,No
Grocery,Pune,Female,55,Senior,3263.67,23313.77,8359.85,2035.09,Yes
Grocery,Jaipur,Female,34,Adult,13359.46,14118.12,3588.01,12825.46,Yes
Merchandise,Hyderabad,Female,63,Senior,907.2,5788.22,6560.71,9250.12,No
Grocery,Indore,Female,-1,Teen,12012.49,24841.38,10717.54,12405.37,No
Merchandise,Delhi,Male,58,Senior,5334.89,7909.54,6651.48,5695.57,No
Merchandise,Chennai,Male,39,Middle Age,10008.64,14713.37,18770.54,16833.48,Yes
Grocery,Chennai,Female,53,Senior,-5162.28,20224.64,993.71,1300.11,Yes
Grocery,Mumbai,Male,54,Senior,10717.08,19911.56,18082.84,654.48,Yes
Merchandise,Bangalore,Male,29,Adult,15540.4,5788.49,19742.42,1552.96,No
Grocery,Chennai,Male,33,Adult,15416.39,11904.94,16546.11,8244.78,No
Merchandise,Lucknow,Male,46,Middle Age,12481.95,18492.5,7529.52,5896.87,Yes
Grocery,Delhi,,16,Teen,13997.86,10676.93,8480.05,5473.44,No
Merchandise,Bangalore,Male,38,Middle Age,16988.5,17506.7,4733.17,13551.15,Yes
Merchandise,Hyderabad,Male,31,Adult,18582.95,18911.55,10944.55,13628.44,No
Merchandise,Mumbai,Male,25,Young Adult,5689.23,2908.11,15337.3,7531.52,No
Grocery,Mumbai,Female,47,Middle Age,3587.09,19407.83,-9495.39,1271.96,Yes
Grocery,Mumbai,Female,34,Adult,10920.27,10598.63,813.25,12743.96,Yes
Merchandise,,Male,26,Adult,586.9,19791.19,15678.44,13591.89,Yes
Merchandise,Kolkata,Male,28,Adult,3287.87,22047.72,14615.91,5522.2,Yes
Grocery,Jaipur,Male,30,Adult,1115.89,20424.51,17686.67,9635.51,No
Merchandise,Kolkata,Female,21,Young Adult,17980.07,21073.19,16353.89,13219.26,Yes
Grocery,Indore,Male,-1,Teen,,9518.08,12337.83,15824.4,No
Grocery,Kolkata,Male,64,Senior,8553.41,2269.27,4960.19,15110.18,Yes
Grocery,,Female,36,Middle Age,19769.05,2071.14,6787.82,13480.4,No
Grocery,Mumbai,Male,25,Young Adult,5755.87,,3657.1,5572.42,No
Grocery,Hyderabad,Female,42,Middle Age,8395.66,12978.91,9014.76,4811.29,No
Merchandise,Delhi,Male,28,Adult,11571.43,14117.15,13588.62,14906.96,No
Grocery,Mumbai,Male,18,Young Adult,10997.47,10223.11,10142.31,13041.98,Yes
Merchandise,Pune,,36,Middle Age,16880.22,5825.32,5090.58,14517.87,No
Grocery,Pune,Female,54,Senior,11414.0,7615.47,1263.59,,Yes
Grocery,Bangalore,Male,49,Middle Age,6506.21,9255.34,15103.89,1881.41,No
Grocery,Kolkata,Male,18,Young Adult,14947.75,17063.64,3231.14,15684.32,No
Grocery,Jaipur,Male,31,Adult,714.36,6391.25,10620.0,12410.16,No
Merchandise,Kolkata,Female,-1,Teen,9914.67,17274.75,16463.4,5083.35,No
Grocery,Kolkata,Male,56,Senior,10595.76,13452.02,15132.22,,No
Merchandise,,Female,24,Young Adult,2840.45,17348.46,17307.6,5143.24,Yes
Merchandise,Lucknow,Male,22,Young Adult,17114.13,17241.12,10698.65,5672.09,Yes
Grocery,Pune,Male,52,Senior,15642.09,19421.57,3020.0,12837.72,No
Merchandise,Hyderabad,Male,36,Middle Age,5046.27,10339.85,15129.28,2161.8,Yes
Merchandise,Chennai,Male,37,Middle Age,1701.2,22342.92,9081.73,14554.94,No
Grocery,Bangalore,Female,31,Adult,15741.77,15639.86,9437.76,4855.01,Yes
Grocery,Kolkata,Female,50,Middle Age,16213.9,7458.34,20935.27,13517.39,No
Merchandise,Delhi,Male,58,Senior,13130.51,10976.38,14765.4,4799.97,No
Grocery,Kolkata,Male,42,Middle Age,9360.41,13133.96,17664.69,7762.55,No
Merchandise,Kolkata,Female,44,Middle Age,7976.8,23658.52,15878.98,10762.14,No
Merchandise,Indore,Male,29,Adult,,5836.47,1994.41,7063.15,Yes
Grocery,Indore,Male,54,Senior,3679.64,14730.14,5652.54,14814.45,No
Grocery,Mumbai,Female,29,Adult,16069.59,,10543.87,2887.86,No
Grocery,Mumbai,Female,17,Teen,4668.93,11410.92,6266.88,5539.46,Yes
Merchandise,Pune,Male,47,Middle Age,11470.66,14604.67,17202.15,12778.75,Yes
Merchandise,Hyderabad,Female,59,Senior,2012.06,24428.14,,14441.65,Yes
Merchandise,Mumbai,Male,25,Young Adult,,22026.12,12882.09,13265.19,No
Grocery,Chennai,Female,22,Young Adult,6682.09,11699.5,8048.98,5727.17,No
Merchandise,Jaipur,Male,17,Teen,19326.86,22975.07,5571.51,8661.66,No
Merchandise,Lucknow,Female,54,Senior,13501.0,3217.44,14413.95,13612.66,No
Merchandise,Pune,Female,41,Middle Age,10268.17,6189.64,7352.03,14166.46,Yes
Grocery,Lucknow,Female,38,Middle Age,-7006.89,21458.53,19775.32,9241.23,No
Merchandise,Mumbai,Female,45,Middle Age,15627.41,,2594.74,10573.22,No
Merchandise,Kolkata,Male,17,Teen,8210.97,5458.1,9643.4,8252.06,Yes
Grocery,Chennai,Female,58,Senior,17245.88,13395.29,14867.52,14070.55,No
Merchandise,Lucknow,Female,54,Senior,,15485.59,3010.95,4648.44,No
Grocery,,Female,27,Adult,6310.61,13585.86,-11696.42,2400.26,No
Merchandise,Delhi,Male,51,Senior,13308.7,24309.07,10199.73,6238.81,Yes
Merchandise,Chennai,Female,150,Senior,6864.07,3639.94,9429.95,8872.47,No
Grocery,Indore,Male,60,Senior,8745.7,14641.69,3926.21,14183.55,No
Grocery,Indore,Male,59,Senior,13441.93,4872.73,12751.15,1239.41,Yes
Merchandise,Jaipur,Female,150,Senior,11686.5,7878.77,10385.71,6375.49,Yes
Grocery,Pune,,43,Middle Age,17338.49,8738.77,15995.79,16133.84,No
Merchandise,Lucknow,Male,20,Young Adult,18325.5,2981.32,20695.62,4326.14,Yes
Grocery,Jaipur,,25,Young Adult,9996.59,10925.42,9726.29,5945.93,Yes
Grocery,Bangalore,Female,34,Adult,6396.72,,18816.3,17595.28,Yes
Merchandise,Kolkata,Female,56,Senior,14669.9,8478.03,,13406.93,No
Merchandise,Indore,Male,18,Young Adult,11407.65,16501.53,15784.3,4219.91,No
Grocery,Mumbai,Male,45,Middle Age,7946.61,19170.14,10761.16,12511.42,No
Grocery,Hyderabad,Male,59,Senior,8789.89,14133.93,13097.85,4234.89,Yes
Grocery,,Female,53,Senior,5802.33,5163.15,18287.93,14240.84,Yes
Grocery,Pune,Female,52,Senior,6831.86,15517.72,2177.26,17612.79,Yes
Grocery,Lucknow,Male,54,Senior,12355.77,14705.56,1624.82,,Yes
Merchandise,Mumbai,Female,43,Middle Age,-10294.23,20115.68,4922.89,10489.15,No
Grocery,Bangalore,Male,31,Adult,13754.73,15340.56,16349.77,17282.92,Yes
Grocery,Hyderabad,Female,45,Middle Age,8500.78,8158.45,2511.18,2957.89,Yes
Grocery,Hyderabad,Female,38,Middle Age,16204.53,9348.1,7951.01,12988.62,No
Merchandise,Kolkata,Male,52,Senior,5031.28,7298.32,17536.78,10016.47,No
Grocery,Jaipur,Female,-1,Teen,17304.4,15454.66,9155.64,,Yes
Grocery,Mumbai,Male,53,Senior,17737.83,4337.45,9006.38,3661.82,Yes
Merchandise,Lucknow,Male,52,Senior,7411.8,5829.1,12176.18,3622.7,No
Merchandise,Bangalore,Female,-1,Teen,5562.01,6800.66,17520.58,2756.24,Yes
Grocery,Hyderabad,Male,40,Middle Age,1189.59,9558.43,17747.53,2102.89,Yes
Merchandise,Mumbai,Male,43,Middle Age,8355.66,4757.54,16911.11,16821.65,Yes
Merchandise,Bangalore,Female,37,Middle Age,14567.93,21307.99,16051.95,7987.78,Yes
Grocery,Indore,Female,31,Adult,5816.12,21282.33,12558.51,16323.13,No
Merchandise,Kolkata,Male,46,Middle Age,18102.16,17953.29,-19865.13,17194.24,Yes
Grocery,Jaipur,Male,150,Senior,16667.82,10624.34,8239.04,12538.16,No
Grocery,Chennai,Male,-1,Teen,10520.48,4676.86,-19280.41,1654.46,No
Merchandise,Jaipur,Female,38,Middle Age,809.85,15974.55,12820.41,16503.37,Yes
Merchandise,Jaipur,Female,32,Adult,,4049.99,9859.96,,Yes
Merchandise,Chennai,Male,27,Adult,4776.98,8655.21,3859.84,652.24,Yes
Merchandise,Bangalore,Male,19,Young Adult,16060.6,4870.46,1674.33,12144.27,No
Merchandise,Mumbai,,29,Adult,1861.28,,5531.31,8968.53,No
Grocery,Bangalore,Female,41,Middle Age,6875.04,14443.6,1068.91,14320.94,No
Grocery,Pune,Male,23,Young Adult,13482.27,12775.02,4513.99,2500.04,Yes
Grocery,Lucknow,Female,43,Middle Age,8527.55,9729.05,6512.06,8008.35,No
Merchandise,Pune,Female,64,Senior,9921.4,19180.71,2817.43,10530.23,Yes
Merchandise,Kolkata,Male,56,Senior,-4869.41,,11130.86,5286.66,Yes
Grocery,Pune,Female,46,Middle Age,4849.37,20566.25,9306.06,2944.69,Yes
Merchandise,Indore,Female,20,Young Adult,4079.85,16756.14,8340.86,5099.01,No
Merchandise,Indore,Male,48,Middle Age,17222.59,12070.11,19066.09,10036.18,No
Grocery,Kolkata,Male,32,Adult,6140.7,1103.49,13561.62,8820.08,Yes
Merchandise,Jaipur,Male,47,Middle Age,12474.68,1393.47,18259.16,16071.96,No
Merchandise,Mumbai,Male,61,Senior,9164.17,1526.14,-11333.24,9559.13,Yes
Grocery,Lucknow,Female,48,Middle Age,3468.11,15810.76,,675.07,No
Grocery,Delhi,Female,59,Senior,2006.25,8539.76,3368.85,16618.22,No
Grocery,Jaipur,Male,26,Adult,14079.08,19902.4,7273.1,2221.95,No
Merchandise,Kolkata,Female,150,Senior,2486.8,7749.79,17588.18,8471.34,Yes
Merchandise,Kolkata,Male,24,Young Adult,4425.79,1875.93,18519.41,17983.63,No
Grocery,Bangalore,Female,59,Senior,2772.49,23352.45,1578.04,,Yes
,Pune,Male,48,Middle Age,13376.16,5224.72,13882.79,8070.57,Yes
Merchandise,Delhi,Male,31,Adult,9834.95,13158.8,13955.66,932.31,Yes
Merchandise,Pune,Female,41,Middle Age,12517.69,,-6455.69,9914.07,No
Merchandise,Bangalore,Male,-1,Teen,9188.56,18354.17,3566.67,14734.68,Yes
Merchandise,Jaipur,Female,25,,4200.69,11825.05,4367.3,4148.55,Yes
Grocery,Kolkata,Female,29,Adult,8925.3,17343.41,4152.15,15570.34,Yes
Grocery,Pune,Male,19,Young Adult,15267.72,11280.24,16246.58,6937.68,Yes
Merchandise,Delhi,Female,52,Senior,12699.95,14740.2,12015.79,5230.61,No
Grocery,Indore,Male,63,Senior,6520.77,9871.26,5517.8,16756.64,Yes
Merchandise,Delhi,Male,25,Young Adult,5439.19,16925.09,9639.63,7167.22,Yes
Grocery,Delhi,Male,53,Senior,11123.17,23807.08,19049.81,10395.58,No
Grocery,Kolkata,Female,49,Middle Age,17181.75,10276.71,3799.29,-9108.28,No
Grocery,Pune,Female,150,Senior,12947.38,11437.06,20207.57,8635.6,Yes
Grocery,Bangalore,Male,44,Middle Age,3707.07,9779.39,,1931.63,Yes
Grocery,Delhi,Male,43,Middle Age,714.8,8233.6,2163.42,12799.23,No
Grocery,Indore,Male,19,Young Adult,5039.87,8324.35,21506.94,16420.0,No
Merchandise,Delhi,Female,59,Senior,15611.34,3728.91,9355.15,8798.88,No
Merchandise,Chennai,Male,22,Young Adult,11224.48,2770.12,21215.29,16825.82,Yes
Merchandise,Hyderabad,Female,58,Senior,13941.98,4391.24,-2489.99,1509.03,Yes
Merchandise,Delhi,Male,23,Young Adult,19993.44,9009.3,1557.73,15056.89,Yes
Merchandise,Chennai,Male,53,Senior,5820.23,6288.41,3728.71,14208.73,No
Grocery,Lucknow,Female,63,Senior,17046.27,22822.04,18976.59,5532.81,No
Merchandise,Chennai,Male,150,Senior,15305.94,13560.54,17663.64,-15080.2,No
Grocery,Chennai,Female,19,Young Adult,1050.75,13813.13,4970.92,12551.32,No
Grocery,Jaipur,Male,15,Teen,-12668.53,18581.2,13185.43,12207.69,No
Merchandise,,Male,59,Senior,7232.5,20494.1,11358.49,14617.92,No
Grocery,Hyderabad,Male,60,Senior,4030.79,10762.58,13049.59,2997.72,No
Merchandise,Kolkata,Male,61,Senior,18718.37,12621.45,3098.72,5028.67,Yes
Grocery,,Male,60,Senior,2127.39,6750.91,12705.0,12506.46,No
Grocery,Pune,Female,30,Adult,11005.77,9498.64,14211.22,16085.97,No
Merchandise,Jaipur,Female,150,Senior,6194.27,16536.12,15030.76,17112.75,Yes
Grocery,Indore,Male,54,Senior,6712.73,4687.13,13156.45,,Yes
Merchandise,Kolkata,Female,55,Senior,19779.93,2343.16,,9811.84,No
Merchandise,Lucknow,Female,55,Senior,4712.22,4411.44,21577.82,17070.48,No
Grocery,Jaipur,Female,40,Middle Age,5989.58,13466.8,6288.62,-13649.65,No
Merchandise,Pune,Female,48,Middle Age,14721.45,19752.08,12539.13,1205.53,Yes
Grocery,Pune,Male,54,Senior,18605.58,7385.96,6793.57,-10641.62,Yes
Merchandise,Hyderabad,Male,33,Adult,5282.27,6688.65,,9240.63,No
Merchandise,Mumbai,Male,61,Senior,18896.79,1787.41,8610.26,7452.1,No
Merchandise,Hyderabad,Female,18,Young Adult,6472.74,4718.3,18113.73,5784.93,No
Grocery,Kolkata,Female,51,Senior,17196.89,17546.53,16569.11,9550.76,Yes
Merchandise,Pune,Male,30,Adult,8702.89,,957.12,6943.33,Yes
Merchandise,Indore,Male,22,Young Adult,12177.05,20342.29,20554.07,17986.64,No
Grocery,Kolkata,Male,49,Middle Age,2177.22,14558.15,785.3,16589.38,No
Merchandise,Pune,Male,60,Senior,9135.85,4265.91,10642.89,14306.07,Yes
Merchandise,Mumbai,Female,150,Senior,7892.31,7901.31,-2800.75,,Yes
Merchandise,Mumbai,Male,16,Teen,6863.05,14813.58,17560.56,1480.87,No
Merchandise,Jaipur,Female,24,Young Adult,,,803.48,7907.66,Yes
Grocery,Chennai,Male,45,Middle Age,14684.31,23482.4,15337.79,13100.92,No
Merchandise,Delhi,Female,31,,14985.95,24737.89,12669.4,17483.48,No
Grocery,Delhi,Female,41,Middle Age,18663.42,12063.96,3160.98,9081.22,Yes
Grocery,Lucknow,Male,38,Middle Age,4690.81,12187.79,13857.28,2880.02,No
Grocery,Kolkata,Female,28,Adult,5913.1,16508.8,1018.97,3022.24,No
Merchandise,Lucknow,Female,23,Young Adult,5737.44,21967.6,12429.98,,No
Merchandise,Kolkata,Female,62,Senior,10210.36,1220.68,15569.37,4736.21,No
Merchandise,Hyderabad,Male,32,Adult,19821.63,7413.48,11350.97,4952.3,No
Grocery,Bangalore,Female,27,Adult,,7702.21,10973.63,9077.69,No
Merchandise,Kolkata,Female,59,Senior,11278.64,15887.04,-8196.12,13612.17,Yes
Grocery,Mumbai,Female,45,Middle Age,2511.21,1819.12,1901.3,1086.31,No
Merchandise,Kolkata,Female,49,Middle Age,2172.42,16630.76,4499.78,1362.27,No
Merchandise,Chennai,Female,58,Senior,9680.27,21490.87,8429.11,8115.33,Yes
Merchandise,Bangalore,Male,56,Senior,5716.88,2553.93,10286.81,10079.96,Yes
Merchandise,Pune,Female,25,Young Adult,8699.05,9845.02,17552.34,3070.84,No
Merchandise,Jaipur,Female,18,Young Adult,16288.36,21240.98,13509.59,5251.54,No
Merchandise,Bangalore,Female,64,Senior,12428.57,,-5299.63,16721.0,Yes
Merchandise,Hyderabad,Male,52,Senior,17848.91,23814.09,9440.6,17730.58,No
Merchandise,Chennai,Female,29,Adult,11224.67,16162.66,15558.48,11689.32,No
Merchandise,Bangalore,Male,60,Senior,10858.76,,-6561.22,,No
Merchandise,Delhi,Female,20,Young Adult,17128.37,17673.19,17348.72,15682.01,No
Grocery,Lucknow,Male,42,Middle Age,17631.28,18705.54,20377.93,-9274.33,No
Merchandise,Delhi,Male,53,Senior,18107.78,17087.83,9759.36,5059.67,Yes
Grocery,Mumbai,Male,57,Senior,1807.35,15741.45,9547.67,16264.64,Yes
Merchandise,Delhi,Female,56,Senior,5055.13,23813.46,19979.44,9539.84,No
Grocery,Lucknow,Male,44,Middle Age,9036.53,6709.68,10853.93,966.08,No
Grocery,Hyderabad,Male,28,Adult,-14937.73,15484.87,4015.76,6910.52,No
Grocery,Lucknow,Male,63,Senior,11153.25,7492.72,21366.54,13632.18,No
Grocery,Hyderabad,Female,28,,7713.55,23366.13,6866.89,7187.37,No
Grocery,Chennai,Male,37,,,705.99,12525.24,6679.54,Yes
Merchandise,Lucknow,Female,62,Senior,1047.1,20706.41,11377.0,8910.95,No
Merchandise,Hyderabad,Female,61,Senior,,10270.08,2863.94,7833.57,No
Merchandise,Jaipur,Male,34,Adult,7683.86,6134.89,6450.49,11339.0,Yes
Merchandise,Delhi,Female,49,Middle Age,577.95,,7961.97,11645.92,Yes
Grocery,Kolkata,Male,53,Senior,13618.84,1845.9,9742.96,8994.51,Yes
Grocery,Indore,Male,22,Young Adult,14484.93,19897.03,5711.36,16344.71,Yes
Grocery,Jaipur,Female,53,Senior,19143.81,9684.58,556.69,6408.36,No
Grocery,Chennai,Female,35,Adult,1820.98,13644.99,6958.07,15445.61,Yes
Merchandise,Chennai,Male,16,Teen,8953.37,9864.36,-17978.64,1677.44,Yes
Merchandise,Delhi,Female,42,Middle Age,8189.69,13346.76,4175.45,569.52,Yes
Merchandise,Mumbai,Male,17,Teen,10244.84,,5741.74,14428.15,Yes
Grocery,Kolkata,Female,18,Young Adult,16877.79,12714.2,1088.42,17922.57,No
Grocery,Kolkata,Male,17,Teen,18011.67,-1453.12,4782.61,12026.9,No
Merchandise,Delhi,Female,60,Senior,10671.29,16293.77,11723.56,6606.5,No
Grocery,Pune,Female,21,Young Adult,3887.35,22265.17,15493.55,7116.88,No
Grocery,,Male,50,Middle Age,19811.44,2424.39,19056.73,4146.36,No
Grocery,Lucknow,Female,61,Senior,4734.09,1967.58,4831.01,13993.52,No
Grocery,Pune,Female,29,Adult,18011.55,20865.2,7320.67,6244.45,Yes
Grocery,Mumbai,Female,41,Middle Age,,23090.11,20971.71,14476.71,Yes
Merchandise,Delhi,Female,51,Senior,15102.25,19215.68,11435.4,10227.66,Yes
Merchandise,Kolkata,Male,40,Middle Age,8890.1,14239.55,-4794.22,2521.72,Yes
Grocery,Hyderabad,Female,57,Senior,6474.5,21489.48,1947.18,13748.13,No
Grocery,Delhi,,20,Young Adult,13334.26,7173.8,14575.41,1506.08,Yes
Grocery,Pune,Male,51,,14439.47,8247.71,4063.37,10537.3,Yes
Grocery,Bangalore,Male,30,Adult,2049.71,,9292.21,16320.9,Yes
Merchandise,Indore,Female,58,Senior,12900.27,12422.15,5072.69,3283.3,No
Grocery,Bangalore,Male,39,Middle Age,7009.13,2971.23,8488.68,8496.1,Yes
Grocery,Bangalore,Male,38,Middle Age,16416.62,10914.01,20841.24,7214.31,No
Merchandise,Delhi,Male,40,Middle Age,11067.84,18677.36,18192.27,11285.74,Yes
Merchandise,Chennai,Male,16,Teen,19561.9,8655.78,8202.08,15403.09,No
Merchandise,Delhi,Male,46,Middle Age,15425.23,22209.7,20248.68,2757.87,Yes
Merchandise,Mumbai,Male,35,Adult,19272.8,15981.05,21554.57,8578.17,Yes
Grocery,Jaipur,Male,28,Adult,-12528.19,9937.99,20311.89,9262.22,Yes
Merchandise,Chennai,Male,17,Teen,8673.95,18122.64,11053.03,10774.63,Yes
Merchandise,Indore,Female,53,Senior,6906.67,18550.54,4588.78,5303.59,No
Grocery,Jaipur,Male,15,Teen,2762.02,11002.18,12796.83,,Yes
Merchandise,Mumbai,Female,39,Middle Age,16977.62,616.14,15556.36,9635.94,No
Merchandise,Jaipur,Male,35,Adult,7681.24,14726.4,8365.58,14527.31,Yes
Merchandise,Mumbai,Male,23,Young Adult,19858.8,4066.03,5752.01,9989.46,No
Grocery,Mumbai,Male,28,Adult,,6154.04,19248.95,6176.32,No
Grocery,Chennai,Male,41,Middle Age,-8518.74,18419.19,12513.61,17670.28,Yes
Grocery,Kolkata,Male,49,Middle Age,7659.16,4205.87,10095.72,6269.74,Yes
Grocery,Kolkata,Male,45,Middle Age,650.21,17812.77,7406.33,10426.61,Yes
Merchandise,Chennai,Female,28,Adult,8114.21,23236.73,5229.65,,Yes
Grocery,Hyderabad,Female,60,Senior,14875.62,19284.79,4672.25,17418.29,No
Merchandise,Chennai,Female,41,Middle Age,13927.75,20110.84,5213.31,2729.52,Yes
,Jaipur,Female,37,Middle Age,9696.61,5684.88,6752.64,14489.74,Yes
Grocery,Indore,Female,53,Senior,4998.21,22105.36,5797.04,-16917.89,No
Grocery,Pune,Female,51,Senior,14909.17,4689.68,15527.99,12410.05,Yes
Grocery,Indore,Male,46,Middle Age,11463.45,6601.52,910.96,4534.18,No
,Hyderabad,Female,-1,Teen,18445.89,20368.64,5640.19,,Yes
